class,feature,coef,abs_coef,importance
normal,cat__preop_ecg_Premature atrial complexes,1.1568917334842088,1.1568917334842088,1.1568917334842088
normal,cat__preop_pft_Severe restrictive,-1.0952611207651957,1.0952611207651957,1.0952611207651957
normal,cat__preop_ecg_Normal Sinus Rhythm,0.9651219561130645,0.9651219561130645,0.9651219561130645
normal,cat__position_Reverse Trendelenburg,-0.9232853605701151,0.9232853605701151,0.9232853605701151
normal,cat__iv2_Left hand,-0.8866503948893267,0.8866503948893267,0.8866503948893267
normal,cat__iv2_Right ,0.8123033555169863,0.8123033555169863,0.8123033555169863
normal,cat__iv1_None,0.7856633943901798,0.7856633943901798,0.7856633943901798
normal,cat__cline1_Right etc,-0.7070019582033412,0.7070019582033412,0.7070019582033412
normal,cat__preop_ecg_Incomplete right bundle branch block,-0.6734996667882807,0.6734996667882807,0.6734996667882807
normal,cat__preop_ecg_Premature ventricular complexes,-0.6710483136299006,0.6710483136299006,0.6710483136299006
normal,num__preop_ph,-0.6385058952934498,0.6385058952934498,0.6385058952934498
normal,cat__cline1_Left IJV,-0.6061609943857578,0.6061609943857578,0.6061609943857578
normal,num__preop_paco2,-0.5944942857088741,0.5944942857088741,0.5944942857088741
normal,cat__cline1_Left femoral,0.5882192451467415,0.5882192451467415,0.5882192451467415
normal,cat__iv2_Left foot,-0.5689054883501021,0.5689054883501021,0.5689054883501021
normal,cat__iv2_Right hand,0.5619211463435978,0.5619211463435978,0.5619211463435978
normal,cat__approach_Robotic,-0.5475565900998306,0.5475565900998306,0.5475565900998306
normal,cat__aline2_Left femoral,0.5289713716628326,0.5289713716628326,0.5289713716628326
normal,cat__preop_pft_Mild restrictive,0.5218724216760534,0.5218724216760534,0.5218724216760534
normal,cat__iv2_Right forearm,0.519188978023504,0.519188978023504,0.519188978023504
normal,cat__preop_pft_Borderline obstructive,0.47656753349322756,0.47656753349322756,0.47656753349322756
normal,cat__position_Left kidney,0.4706888418432424,0.4706888418432424,0.4706888418432424
normal,cat__preop_pft_Moderate restrictive,0.46060216636628115,0.46060216636628115,0.46060216636628115
normal,cat__cline1_Right femoral,0.4564871126008252,0.4564871126008252,0.4564871126008252
normal,cat__dltubesize_Right-37,0.4527681319112784,0.4527681319112784,0.4527681319112784
normal,cat__cline2_Right etc,0.44252626945559337,0.44252626945559337,0.44252626945559337
normal,cat__department_Urology,0.43723866573641457,0.43723866573641457,0.43723866573641457
normal,cat__cormack_IV,0.4351190322091855,0.4351190322091855,0.4351190322091855
normal,cat__approach_Videoscopic,0.42497366045996315,0.42497366045996315,0.42497366045996315
normal,num__preop_alt,-0.42453613747790386,0.42453613747790386,0.42453613747790386
normal,num__intraop_ca,0.41520556142421694,0.41520556142421694,0.41520556142421694
normal,cat__dltubesize_Left-24,0.41272219792668596,0.41272219792668596,0.41272219792668596
normal,num__intraop_rbc,-0.41221678449616356,0.41221678449616356,0.41221678449616356
normal,cat__preop_pft_Mixed or pure obstructive,-0.40294184143280565,0.40294184143280565,0.40294184143280565
normal,cat__aline1_Right etc,0.4013747421200062,0.4013747421200062,0.4013747421200062
normal,cat__ane_type_Spinal,0.39869486148553335,0.39869486148553335,0.39869486148553335
normal,cat__iv1_Right hand,0.3835204330359976,0.3835204330359976,0.3835204330359976
normal,cat__dltubesize_None,-0.3830180082720063,0.3830180082720063,0.3830180082720063
normal,num__preop_hco3,0.3694825388809561,0.3694825388809561,0.3694825388809561
normal,cat__aline1_Right dorsalis pedis,-0.36461182237773954,0.36461182237773954,0.36461182237773954
normal,cat__aline1_None,0.3638820453291098,0.3638820453291098,0.3638820453291098
normal,cat__aline2_None,-0.3638726046957162,0.3638726046957162,0.3638726046957162
normal,num__caseend,0.34496932386532764,0.34496932386532764,0.34496932386532764
normal,cat__cormack_None,-0.34077621805566194,0.34077621805566194,0.34077621805566194
normal,cat__cline1_Right subclavian,0.3224923876561461,0.3224923876561461,0.3224923876561461
normal,cat__preop_ecg_Atrial flutter with 2:1 A-V conduction,-0.30878796896017274,0.30878796896017274,0.30878796896017274
normal,cat__position_Trendelenburg,0.3016641537887389,0.3016641537887389,0.3016641537887389
normal,num__intraop_phe,-0.3016374528296379,0.3016374528296379,0.3016374528296379
normal,cat__dltubesize_Left-35,-0.28973859410413494,0.28973859410413494,0.28973859410413494
normal,num__opend,-0.2803485911101441,0.2803485911101441,0.2803485911101441
normal,cat__optype_Biliary/Pancreas,-0.27939811570718104,0.27939811570718104,0.27939811570718104
normal,cat__cline1_Right EJV,0.26433820729652185,0.26433820729652185,0.26433820729652185
normal,cat__optype_Breast,0.2641552116025709,0.2641552116025709,0.2641552116025709
normal,cat__position_Prone,0.261146603855242,0.261146603855242,0.261146603855242
normal,cat__iv1_Left etc,-0.26054914565459686,0.26054914565459686,0.26054914565459686
normal,cat__optype_Major resection,0.25211822309266024,0.25211822309266024,0.25211822309266024
normal,cat__iv1_Left leg,-0.24978660503376074,0.24978660503376074,0.24978660503376074
normal,cat__aline2_Right radial,-0.24648342398815049,0.24648342398815049,0.24648342398815049
normal,cat__cline2_Right antecubital,-0.24648342398815049,0.24648342398815049,0.24648342398815049
normal,cat__aline1_Right femoral,-0.24576772712543166,0.24576772712543166,0.24576772712543166
normal,cat__position_Right lateral decubitus,0.23978558159776944,0.23978558159776944,0.23978558159776944
normal,cat__optype_Others,0.2367581306944115,0.2367581306944115,0.2367581306944115
