class_or_avg,precision,recall,f1-score,support
abnormal,0.5272153870113689,0.5388166010107039,0.5329528682475647,50262.0
normal,0.702075702075702,0.6922355565130337,0.6971209066081319,78911.0
accuracy,0.6325393077500716,0.6325393077500716,0.6325393077500716,0.6325393077500716
macro avg,0.6146455445435355,0.6155260787618688,0.6150368874278482,129173.0
weighted avg,0.6340364898892271,0.6325393077500716,0.6332421243232982,129173.0
